make	revolution	51.9.2	revolve
make	sacrifice	13.2-1-1	sacrifice
make	sale	13.1-1	sale
make	selection	13.5.2	select
make	shift	26.6.2-1	shift
make	shout	37.3	shout
make	sign	37.4.1	sign
make	sound	43.2	sound
make	speech	37.11-1	speech
make	statement	37.7-1-1	statement
make	step	51.3.2	step
make	stride	51.3.2-1	stride
make	suggestion	37.7-1-1-1	suggestion
make	switch	13.6.2	switch
make	trade	13.6.1	trade
make	transfer	11.1	transfer
make	transformation	26.6.1	transformation
make	turn	51.3.1	turn
make	use	105.1	use
make	visit	36.3-1	visit
make	vow	37.13	vow
make	wager	94	wager
make	war	36.4	war
make	wish	62	wish
offer	explanation	37.1.1	explain
open	fire	17.1-1	fire
pay	attention	30.3	attend
pay	respect	31.2	respect
pay	visit	36.3-1	visit
perform	test	34.1	test
perform	upgrade	29.1	upgrade
place	emphasis	102	emphasize
play	trick	59.2	trick
provide	assistance	72.1-1-1	assist
put	emphasis	102	emphasize
put	limit	76	limit
put	stop	55.4-1-1	stop
raise	objection	37.8	object
reap	benefit	72.2	benefit
reap	profits	72.2	profit
run	boycott	52	boycott
suffer	loss	10.1	lose
take	action	114-1-1	act
take	bath	41.1.1	bathe
take	bet	94	bet
take	bow	40.3.3	bow
take	breath	40.1.2-1	breathe
take	catnap	40.4	nap
take	chance	94-1	chance
take	cruise	51.4.2-1	cruise
take	dive	45.6.1-1	dive
take	doze	40.4	doze
take	drive	51.4.2-1	drive
take	flight	51.4.2-1	fly
take	gamble	94	gamble
take	glance	30.3	glance
take	hike	51.3.2	hike
take	holiday	56	holiday
take	jog	51.3.2-2-1	jog
take	lead	95.2.2	lead
take	leap	51.3.2-1	leap
take	liking	32.1-1-1	like
take	listen	30.3	listen
take	look	30.3	look
take	nap	40.4-1	nap
take	note	25.2	note
take	notice	30.1-1-1	notice
take	pee	40.1.2	pee
take	peek	30.3	peek
take	photo	25.4	photo
take	picture	25.4	photograph
take	plunge	45.6.1-1	plunge
take	poop	40.1.2	poop
take	ride	51.4.2	ride
take	risk	94	risk
take	seat	50	sit
take	shit	40.1.2	shit
take	shower	41.1.1	shower
take	sniff	30.3	sniff
take	snooze	40.4	snooze
take	stroll	51.3.2-1	stroll
take	tour	35.4	tour
take	vacation	56	vacation
take	walk	51.3.2-2-1	walk
turn	profit	72.2	profit
venture	guess	29.5-1	guess
